bank	round	acc	pr_auc	loss	timestamp
bank_A	1	0.747880	0.247029	0.572079	2025-12-18T20:38:08.115952Z
bank_A	2	0.749380	0.247876	0.571311	2025-12-18T20:38:08.115984Z
bank_A	3	0.750540	0.249081	0.570219	2025-12-18T20:38:08.115989Z
bank_A	4	0.750960	0.247932	0.570496	2025-12-18T20:38:08.115993Z
bank_A	5	0.751420	0.248706	0.569081	2025-12-18T20:38:08.115996Z
bank_A	6	0.751540	0.249611	0.568423	2025-12-18T20:38:08.116000Z
bank_A	7	0.751730	0.247272	0.568865	2025-12-18T20:38:08.116003Z
bank_A	8	0.751820	0.248644	0.568067	2025-12-18T20:38:08.116006Z
