bank	round	acc	pr_auc	loss	timestamp
bank_E_DATA	1	0.952500	0.030481	0.280737	2026-01-05T05:16:14.626480Z
bank_E_DATA	2	0.960900	0.025889	0.258113	2026-01-05T05:16:14.626538Z
bank_E_DATA	3	0.966500	0.026804	0.238504	2026-01-05T05:16:14.626548Z
bank_E_DATA	4	0.968900	0.032784	0.221630	2026-01-05T05:16:14.626556Z
bank_E_DATA	5	0.969900	0.038018	0.201881	2026-01-05T05:16:14.626563Z
bank_E_DATA	6	0.970400	0.040616	0.189708	2026-01-05T05:16:14.626569Z
bank_E_DATA	7	0.970800	0.051145	0.173689	2026-01-05T05:16:14.626575Z
bank_E_DATA	8	0.971000	0.109991	0.161564	2026-01-05T05:16:14.626580Z
bank_E_DATA	9	0.971100	0.133327	0.149853	2026-01-05T05:16:14.626586Z
