bank	round	acc	pr_auc	loss	timestamp
bank_L	1	0.983200	0.004681	0.172513	2026-01-05T08:00:40.938059Z
bank_L	2	0.988850	0.008550	0.164588	2026-01-05T08:00:40.938238Z
bank_L	3	0.992650	0.005888	0.155873	2026-01-05T08:00:40.938250Z
bank_L	4	0.993700	0.013882	0.150278	2026-01-05T08:00:40.938260Z
bank_L	5	0.994000	0.004254	0.145863	2026-01-05T08:00:40.938268Z
bank_L	6	0.993900	0.004199	0.140712	2026-01-05T08:00:40.938275Z
bank_L	7	0.994050	0.004347	0.134032	2026-01-05T08:00:40.938284Z
bank_L	8	0.994050	0.004295	0.128983	2026-01-05T08:00:40.938293Z
